N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,800",900,+1.55%,100,"3,510,232","5,969,783",55.92,"8,465,520",18.40,8.69,
2,SK하이닉스,"82,400",500,-0.60%,"5,000","599,874","728,002",48.67,"2,352,801",26.24,4.25,
3,NAVER,"300,500","5,500",+1.86%,100,"493,612","164,263",55.30,"423,736",70.05,10.56,
4,삼성바이오로직스,"688,000","13,000",+1.93%,"2,500","455,215","66,165",10.18,"43,020",132.54,4.77,
5,LG화학,"627,000",0,0.00%,"5,000","442,614","70,592",37.03,"253,676",108.08,1.84,
6,삼성전자우,"50,800",100,+0.20%,100,"418,026","822,887",86.86,"1,102,569",15.89,N/A,
7,현대차,"175,500","5,500",+3.24%,"5,000","374,988","213,668",31.39,"1,126,526",25.29,4.32,
8,셀트리온,"257,500","1,000",-0.39%,"1,000","347,609","134,994",21.36,"821,969",86.85,11.19,
9,카카오,"370,000","18,500",+5.26%,500,"325,852","88,068",31.68,"522,534",-211.43,-5.81,
10,삼성SDI,"420,000","8,000",+1.94%,"5,000","288,811","68,765",41.74,"150,582",154.30,2.94,
11,LG생활건강,"1,454,000","35,000",+2.47%,"5,000","227,089","15,618",45.40,"14,764",33.16,20.32,
12,현대모비스,"226,500","4,500",+2.03%,"5,000","215,299","95,055",43.90,"136,526",12.34,7.28,
13,삼성물산,"105,000","2,500",+2.44%,100,"196,231","186,887",14.35,"126,787",18.35,4.77,
14,SK텔레콤,"234,000","3,000",+1.30%,500,"188,945","80,746",35.94,"64,389",19.20,3.92,
15,기아차,"45,900","1,900",+4.32%,"5,000","186,062","405,363",38.86,"1,105,945",17.48,6.50,
16,엔씨소프트,"804,000","20,000",+2.55%,500,"176,510","21,954",48.93,"59,713",33.86,14.72,
17,POSCO,"194,500",500,+0.26%,"5,000","169,578","87,187",51.43,"168,449",18.49,4.18,
18,KB금융,"38,200",0,0.00%,"5,000","158,839","415,808",65.79,"720,640",5.00,8.92,
19,LG전자,"92,600",300,-0.32%,"5,000","151,538","163,648",34.61,"612,388",37.16,0.22,
20,넷마블,"164,500","1,500",-0.90%,100,"141,187","85,828",22.56,"446,729",68.06,3.54,
21,SK,"196,500","5,500",+2.88%,200,"138,258","70,360",21.95,"112,177",-378.61,4.31,
22,신한지주,"27,500",150,+0.55%,"5,000","131,284","477,397",60.19,"725,750",4.13,9.09,
23,삼성에스디에스,"169,500","3,000",+1.80%,500,"131,155","77,378",12.24,"71,733",25.16,11.76,
24,한국전력,"20,200",500,+2.54%,"5,000","129,677","641,964",17.44,"1,212,036",-14.08,-3.42,
25,SK이노베이션,"137,500","3,000",-2.14%,"5,000","127,140","92,466",23.77,"537,980",-5.63,-0.20,
26,LG,"73,100","1,000",+1.39%,"5,000","126,139","172,557",34.97,"116,073",15.60,5.87,
27,SK바이오팜,"156,500","2,000",-1.26%,500,"122,560","78,313",1.99,"107,119",-142.27,-313.66,
28,삼성생명,"59,900","2,000",+3.45%,500,"119,800","200,000",12.46,"237,600",13.32,3.26,
29,KT&G,"81,500","1,000",+1.24%,"5,000","111,893","137,292",41.97,"165,126",10.90,12.39,
30,삼성전기,"139,500","4,000",+2.95%,"5,000","104,198","74,694",32.92,"245,315",42.94,10.18,
31,아모레퍼시픽,"162,000","2,500",+1.57%,500,"94,703","58,458",30.53,"82,340",81.45,5.36,
32,삼성화재,"180,500","2,000",+1.12%,500,"85,512","47,375",46.96,"27,567",13.80,4.85,
33,하나금융지주,"27,850",300,+1.09%,"5,000","83,617","300,242",64.02,"410,300",3.30,8.77,
34,고려아연,"383,000","18,500",+5.08%,"5,000","72,272","18,870",24.05,"27,615",13.14,9.76,
35,신풍제약,"130,500","5,500",-4.04%,500,"69,145","52,985",9.67,"6,534,828","3,954.55",0.80,
36,롯데케미칼,"194,500","1,500",-0.77%,"5,000","66,666","34,275",29.58,"143,953",37.11,5.51,
37,한온시스템,"12,000",350,+3.00%,100,"64,056","533,800",20.78,"673,357",38.46,14.98,
38,우리금융지주,"8,410",170,+2.06%,"5,000","60,743","722,268",26.00,"556,065",4.44,N/A,
39,한화솔루션,"37,900","2,750",+7.82%,"5,000","60,589","159,864",20.09,"5,630,599",-36.58,-4.02,
40,CJ제일제당,"393,500","3,500",+0.90%,"5,000","59,238","15,054",22.95,"22,850",9.91,3.16,
41,KT,"22,650",250,+1.12%,"5,000","59,142","261,112",45.06,"326,899",9.87,4.61,
42,기업은행,"7,930",80,+1.02%,"5,000","58,576","738,664",10.89,"715,104",3.80,7.36,
43,코웨이,"79,200","2,000",+2.59%,500,"58,449","73,800",60.97,"97,194",16.65,30.74,
44,S-Oil,"51,200",300,+0.59%,"2,500","57,642","112,583",73.48,"105,666",-7.04,1.01,
45,한국조선해양,"80,300",600,+0.75%,"5,000","56,831","70,773",15.78,"76,215",54.00,1.40,
46,LG디스플레이,"15,200",250,+1.67%,"5,000","54,388","357,816",22.25,"724,198",-1.87,-22.35,
47,미래에셋대우,"8,400",50,+0.60%,"5,000","54,207","645,316",13.65,"784,297",10.00,7.56,
48,현대글로비스,"140,500","1,000",+0.72%,500,"52,688","37,500",35.34,"62,891",9.57,11.25,
49,오리온,"132,000","4,000",+3.13%,500,"52,188","39,536",44.31,"33,701",19.69,14.24,
50,포스코케미칼,"80,500","2,500",+3.21%,500,"49,096","60,988",7.40,"254,568",94.93,11.57,
51,LG유플러스,"11,150",350,+3.24%,"5,000","48,682","436,611",30.78,"1,050,777",9.74,6.30,
52,강원랜드,"21,450",650,+3.13%,500,"45,890","213,940",24.44,"327,271",-225.79,9.16,
53,유한양행,"62,800",900,+1.45%,"1,000","41,986","66,857",21.39,"190,387",25.33,2.43,
54,한진칼,"67,600",100,+0.15%,"2,500","39,999","59,170",17.38,"62,507",-10.41,-17.56,
55,이마트,"143,000","2,500",+1.78%,"5,000","39,862","27,876",31.14,"101,555",7.17,2.76,
56,아모레G,"48,250","1,000",+2.12%,500,"39,786","82,458",20.30,"38,577",65.83,4.12,
57,KODEX 200,"30,855",505,+1.66%,0,"39,325","127,450",7.06,"3,409,549",N/A,N/A,
58,CJ대한통운,"172,000","2,500",+1.47%,"5,000","39,237","22,812",21.27,"58,624",43.41,1.41,
59,한국금융지주,"70,000",0,0.00%,"5,000","39,008","55,726",31.37,"299,402",6.62,18.14,
60,한국타이어앤테크놀로지,"31,400",750,+2.45%,500,"38,897","123,875",38.55,"183,426",13.13,6.03,
61,맥쿼리인프라,"10,900",150,+1.40%,0,"38,046","349,044",17.10,"451,529",N/A,N/A,
62,LG이노텍,"155,500","4,000",+2.64%,"5,000","36,802","23,667",35.08,"84,030",16.10,4.73,
63,한미사이언스,"55,000","2,000",+3.77%,500,"36,306","66,011",1.90,"103,959",128.21,4.73,
64,두산중공업,"13,600",750,+5.84%,"5,000","34,427","253,141",7.03,"4,426,813",-2.68,-14.73,
65,SK케미칼,"289,500","11,500",-3.82%,"5,000","33,991","11,741",11.83,"304,087",14.89,1.51,
66,현대중공업지주,"214,000","9,000",+4.39%,"5,000","33,809","15,799",17.83,"23,374",-15.09,2.20,
67,현대건설,"30,150",450,+1.52%,"5,000","33,574","111,356",20.76,"283,377",9.98,6.30,
68,에스원,"87,300",500,+0.58%,500,"33,173","37,999",55.75,"23,679",22.42,11.32,
69,삼성중공업,"5,240",90,+1.75%,"5,000","33,012","630,000",15.54,"1,337,223",-1.81,-21.88,
70,대한항공,"18,800",450,+2.45%,"5,000","32,751","174,210",11.33,"753,599",-2.80,-22.09,
71,금호석유,"107,000","10,800",+11.23%,"5,000","32,600","30,468",33.02,"337,846",12.24,11.84,
72,삼성카드,"28,000",300,+1.08%,"5,000","32,440","115,859",9.77,"33,693",8.66,5.04,
73,현대차2우B,"88,000","1,700",+1.97%,"5,000","32,107","36,485",62.36,"33,288",12.68,N/A,
74,현대제철,"23,950",250,+1.05%,"5,000","31,960","133,446",18.82,"206,957",-11.88,0.10,
75,한미약품,"267,500","5,500",+2.10%,"2,500","31,680","11,843",14.18,"25,362",87.88,7.30,
76,DB손해보험,"44,400",150,-0.34%,500,"31,435","70,800",40.15,"35,345",5.81,6.92,
77,더존비즈온,"103,500","2,500",-2.36%,500,"30,711","29,673",45.53,"73,531",64.61,18.78,
78,SKC,"79,900","2,300",+2.96%,"5,000","29,990","37,535",8.74,"165,371",28.95,3.86,
79,롯데지주,"28,500",500,+1.79%,200,"29,899","104,909",11.25,"44,941",-4.30,-5.21,
80,동서,"29,900",100,-0.33%,500,"29,810","99,700",5.87,"108,259",21.67,10.53,
81,호텔신라,"75,700","2,500",+3.42%,"5,000","29,711","39,248",20.56,"259,368",-40.03,20.16,
82,쌍용양회,"5,860",40,+0.69%,"1,000","29,526","503,860",2.88,"1,260,480",22.11,7.02,
83,GS,"31,050",500,+1.64%,"5,000","28,850","92,915",20.14,"96,538",-25.68,6.26,
84,대림산업,"77,300","1,100",+1.44%,"5,000","26,900","34,800",39.46,"109,650",4.35,11.74,
85,두산밥캣,"26,750",800,+3.08%,500,"26,817","100,249",21.46,"281,357",14.65,7.05,
86,삼성증권,"29,550",150,+0.51%,"5,000","26,388","89,300",24.75,"160,747",8.11,8.15,
87,녹십자,"220,500","5,000",+2.32%,"5,000","25,769","11,687",18.07,"54,420",431.51,-0.35,
88,NH투자증권,"9,080",10,+0.11%,"5,000","25,552","281,409",13.34,"454,373",5.94,9.12,
89,하이트진로,"36,100","2,750",+8.25%,"5,000","25,318","70,134",10.21,"425,397",37.29,-3.86,
90,한샘,"106,500","2,000",-1.84%,"1,000","25,064","23,534",24.46,"80,634",47.93,7.32,
91,GS리테일,"32,500",450,+1.40%,"1,000","25,025","77,000",16.35,"121,766",14.98,6.25,
92,대우조선해양,"22,650",600,+2.72%,"5,000","24,282","107,206",9.12,"93,317",-26.12,-1.22,
93,제일기획,"21,100",200,-0.94%,200,"24,274","115,041",30.69,"254,496",18.87,15.09,
94,KODEX 200선물인버스2X,"4,255",135,-3.08%,0,"24,271","570,400",1.56,"119,017,249",N/A,N/A,
95,TIGER 200,"30,855",465,+1.53%,0,"23,573","76,400",2.05,"563,962",N/A,N/A,
96,HMM,"7,200",340,+4.96%,"5,000","23,524","326,726",7.63,"2,487,400",-9.23,-55.46,
97,CJ,"80,000",900,+1.14%,"5,000","23,342","29,177",19.05,"35,920",15.55,6.24,
98,LG화학우,"299,500","3,000",+1.01%,"5,000","23,028","7,689",54.50,"26,596",51.63,N/A,
99,두산퓨얼셀,"40,200","1,350",+3.47%,100,"22,308","55,494",5.77,"638,050",61.28,N/A,
100,한국가스공사,"24,050",250,+1.05%,"5,000","22,201","92,313",8.61,"60,236",-4.97,0.48,
101,한국항공우주,"22,700",150,+0.67%,"5,000","22,127","97,475",14.11,"105,087",14.16,15.84,
102,휠라홀딩스,"36,050",650,+1.84%,"1,000","21,901","60,752",45.75,"88,499",10.91,23.81,
103,롯데쇼핑,"77,000",700,+0.92%,"5,000","21,782","28,289",11.21,"29,463",-1.60,-8.14,
104,메리츠증권,"3,220",40,+1.26%,"1,000","21,766","675,962",12.24,"696,480",4.39,15.06,
105,키움증권,"96,800","1,900",+2.00%,"5,000","21,411","22,119",25.20,"32,776",6.49,16.97,
106,오뚜기,"572,000","10,000",+1.78%,"5,000","21,004","3,672",17.06,"1,231",16.34,7.79,
107,KODEX 레버리지,"14,495",455,+3.24%,0,"20,960","144,600",1.33,"37,199,535",N/A,N/A,
108,BGF리테일,"120,500","3,500",+2.99%,"1,000","20,827","17,284",31.41,"26,645",16.08,26.46,
109,두산인프라코어,"9,850",360,+3.79%,"5,000","20,733","210,484",3.31,"57,505,816",14.95,11.59,
110,신세계,"208,500","4,500",+2.21%,"5,000","20,527","9,845",26.93,"35,614",-7.68,14.24,
111,현대차우,"83,600","2,000",+2.45%,"5,000","20,362","24,357",55.26,"43,933",12.05,N/A,
112,현대해상,"22,450",100,+0.45%,500,"20,070","89,400",40.50,"71,376",6.60,6.23,
113,일진머티리얼즈,"43,450","1,300",+3.08%,500,"20,035","46,111",9.03,"158,078",39.32,8.52,
114,삼성엔지니어링,"10,200",200,+2.00%,"5,000","19,992","196,000",29.72,"532,363",7.73,24.62,
115,농심,"315,500","5,000",+1.61%,"5,000","19,191","6,083",19.80,"6,341",15.70,3.72,
116,GS건설,"23,650",200,+0.85%,"5,000","18,943","80,098",27.62,"115,841",4.96,11.79,
117,한화,"24,650",750,+3.14%,"5,000","18,477","74,959",19.12,"249,052",12.91,2.09,
118,팬오션,"3,440",100,+2.99%,"1,000","18,389","534,569",11.42,"877,776",12.46,5.49,
119,부광약품,"28,250",400,+1.44%,500,"18,317","64,838",6.35,"469,300",656.98,-2.00,
120,대웅,"31,250","1,250",+4.17%,500,"18,169","58,142",7.16,"448,426",39.06,10.43,
121,종근당,"160,500","1,000",+0.63%,"2,500","17,472","10,886",13.69,"40,952",23.02,11.94,
122,씨에스윈드,"101,000","6,800",+7.22%,500,"17,459","17,286",8.75,"217,619",41.34,9.92,
123,현대로템,"15,800",150,+0.96%,"5,000","17,244","109,142",3.30,"1,419,756",-4.74,-37.93,
124,KODEX 단기채권,"102,485",10,+0.01%,0,"17,051","16,638",3.61,"11,772",N/A,N/A,
125,LS,"52,500","1,400",+2.74%,"5,000","16,905","32,200",11.73,"79,883",-38.86,0.80,
126,DB하이텍,"37,350","2,500",+7.17%,"5,000","16,583","44,399",30.81,"1,162,318",10.23,17.40,
127,BNK금융지주,"5,060",65,+1.30%,"5,000","16,492","325,935",46.65,"342,902",3.16,7.07,
128,만도,"35,100","1,950",+5.88%,"1,000","16,482","46,957",22.15,"710,067",-39.80,7.55,
129,한올바이오파마,"31,550",300,+0.96%,500,"16,482","52,241",7.12,"209,731",76.76,14.90,
130,LS ELECTRIC,"54,600",800,+1.49%,"5,000","16,380","30,000",14.75,"79,623",16.85,7.82,
131,포스코인터내셔널,"13,100",150,+1.16%,"5,000","16,162","123,375",16.01,"85,665",9.02,7.06,
132,한솔케미칼,"141,500","3,000",+2.17%,"5,000","15,983","11,295",32.13,"38,685",15.38,20.88,
133,현대엘리베이,"40,650",100,+0.25%,"5,000","15,727","38,690",24.39,"160,147",28.09,5.22,
134,한국테크놀로지그룹,"16,400",800,+5.13%,500,"15,255","93,020",6.31,"1,912,748",12.14,4.71,
135,효성,"71,900","1,400",+1.99%,"5,000","15,150","21,071",5.33,"36,495",55.48,4.25,
136,LG생활건강우,"703,000","3,000",+0.43%,"5,000","14,761","2,100",87.46,"1,559",16.03,N/A,
137,메리츠화재,"12,850",100,+0.78%,500,"14,608","113,680",11.63,"32,173",4.15,12.80,
138,일양약품,"75,500","3,500",-4.43%,"2,500","14,410","19,086",8.17,"457,249",155.35,5.20,
139,NHN,"73,500","1,400",+1.94%,500,"14,380","19,565",11.07,"55,916",55.98,0.78,
140,영진약품,"7,850",100,+1.29%,500,"14,357","182,893",4.86,"2,142,435",603.85,4.43,
141,HDC현대산업개발,"20,950",250,+1.21%,"5,000","13,808","65,907",8.76,"317,837",2.97,20.30,
142,진원생명과학,"30,800","1,350",-4.20%,"1,000","13,764","44,688",11.00,"5,021,243",-105.12,-28.50,
143,KODEX 인버스,"5,520",90,-1.60%,0,"13,612","246,600",1.56,"23,956,543",N/A,N/A,
144,OCI,"57,000","1,900",+3.45%,"5,000","13,594","23,849",16.41,"110,534",-1.68,-26.20,
145,KODEX 종합채권(AA-이상)액티브,"111,100",90,+0.08%,0,"13,505","12,156",0.00,"4,486",N/A,N/A,
146,더블유게임즈,"73,400","1,400",+1.94%,500,"13,487","18,375",16.37,"44,530",12.79,18.93,
147,F&F,"85,000","1,500",+1.80%,500,"13,090","15,400",10.19,"24,381",12.73,25.13,
148,한화생명,"1,490",35,+2.41%,"5,000","12,941","868,530",7.55,"1,147,304",7.68,0.51,
149,현대백화점,"55,200","1,300",+2.41%,"5,000","12,918","23,402",16.36,"74,139",10.21,4.64,
150,KCC,"145,000","5,500",+3.94%,"5,000","12,885","8,886",13.28,"22,431",-611.81,-4.37,
151,현대오토에버,"61,100","4,400",+7.76%,500,"12,831","21,000",1.14,"383,005",22.31,11.71,
152,KODEX 삼성그룹,"7,485",130,+1.77%,0,"12,717","169,900",0.03,"122,923",N/A,N/A,
153,한화에어로스페이스,"25,050",50,+0.20%,"5,000","12,683","50,630",15.93,"160,916",11.84,5.45,
154,아이에스동서,"40,500","2,900",+7.71%,500,"12,512","30,893",5.22,"51,259",21.42,6.10,
155,TIGER 단기통안채,"100,680",15,+0.01%,0,"12,510","12,426",5.86,"1,236",N/A,N/A,
156,롯데정밀화학,"48,300",700,+1.47%,"5,000","12,461","25,800",23.84,"56,648",6.37,11.73,
157,영원무역,"27,800","1,100",+4.12%,500,"12,319","44,311",22.86,"60,182",8.75,9.82,
158,한화시스템,"11,150",550,+5.19%,"5,000","12,291","110,230",1.54,"473,930",15.79,8.15,
159,메리츠금융지주,"9,120",70,+0.77%,500,"12,222","134,011",7.92,"11,955",3.02,15.26,
160,한전KPS,"26,850",100,+0.37%,200,"12,082","45,000",13.48,"56,259",7.60,14.98,
161,두산솔루스,"39,400",850,+2.20%,100,"12,052","30,590",8.18,"130,228",87.36,N/A,
162,대웅제약,"103,000","1,000",+0.98%,"2,500","11,934","11,587",4.92,"44,563",-481.31,4.34,
163,SK네트웍스,"4,805",80,+1.69%,"2,500","11,925","248,188",11.87,"157,641",-40.72,-5.85,
164,SK디스커버리,"62,600","2,000",-3.10%,"5,000","11,918","19,038",10.29,"156,192",4.87,11.52,
165,유나이티드제약,"71,600","2,000",-2.72%,500,"11,631","16,245",8.73,"474,537",37.31,12.79,
166,현대미포조선,"29,050","1,000",+3.57%,"5,000","11,603","39,942",13.07,"64,383",19.42,2.31,
167,지누스,"80,300","1,100",+1.39%,500,"11,569","14,407",18.82,"17,774",14.61,26.32,
168,대우건설,"2,755",45,+1.66%,"5,000","11,450","415,623",9.77,"640,914",6.23,8.80,
169,KODEX 200TR,"9,900",155,+1.59%,0,"11,301","114,150",20.29,"159,751",N/A,N/A,
170,코스맥스,"110,500","3,500",+3.27%,500,"11,105","10,050",23.98,"115,855",28.81,10.45,
171,현대위아,"40,150",950,+2.42%,"5,000","10,919","27,195",10.47,"85,240",17.32,1.80,
172,녹십자홀딩스,"22,750",500,+2.25%,500,"10,699","47,028",7.07,"75,534",32.32,0.37,
173,신세계인터내셔날,"149,000","3,000",+2.05%,"5,000","10,639","7,140",4.66,"16,511",17.18,12.98,
174,파미셀,"17,650",200,-1.12%,500,"10,583","59,959",7.43,"880,566",173.04,8.78,
175,금호타이어,"3,670",15,+0.41%,"5,000","10,542","287,260",4.25,"319,301",-7.54,-3.30,
176,한국콜마,"45,200","1,050",+2.38%,500,"10,342","22,881",25.13,"49,016",46.99,6.39,
177,대한유화,"158,500",500,+0.32%,"5,000","10,302","6,500",14.03,"38,235",12.28,6.11,
178,이노션,"50,900",400,-0.78%,500,"10,180","20,000",28.45,"27,201",15.23,9.88,
179,코오롱인더,"37,000","1,500",+4.23%,"5,000","9,982","26,979",15.62,"157,833",6.37,1.58,
180,롯데관광개발,"14,400",50,-0.35%,500,"9,976","69,276",6.40,"158,066",-21.85,-4.77,
181,쿠쿠홈시스,"42,600","2,050",+5.06%,100,"9,558","22,437",4.35,"54,403",12.48,16.10,
182,다우기술,"21,300",500,+2.40%,500,"9,557","44,867",23.11,"116,350",5.02,14.62,
183,KBSTAR 200,"30,910",490,+1.61%,0,"9,458","30,600",0.04,"47,234",N/A,N/A,
184,KODEX 코스닥150 레버리지,"12,125",700,+6.13%,0,"9,421","77,700",0.80,"17,629,156",N/A,N/A,
185,DGB금융지주,"5,540",130,+2.40%,"5,000","9,371","169,146",45.51,"387,529",3.01,7.31,
186,드림텍,"14,900",250,+1.71%,100,"9,252","62,095",23.59,"763,510",73.40,13.24,
187,SK가스,"97,100","2,900",-2.90%,"5,000","8,963","9,230",8.80,"13,432",2.58,9.85,
188,코리안리,"7,400",60,-0.80%,500,"8,907","120,369",27.60,"164,153",5.29,8.04,
189,JB금융지주,"4,505",25,+0.56%,"5,000","8,874","196,983",38.65,"80,378",2.72,10.36,
190,대상,"25,450",750,+3.04%,"1,000","8,818","34,648",17.93,"64,702",6.80,11.17,
191,롯데리츠,"5,110",10,+0.20%,500,"8,788","171,969",9.19,"115,005",56.78,1.80,
192,KODEX 단기채권PLUS,"102,700",0,0.00%,0,"8,774","8,543",0.00,"229,775",N/A,N/A,
193,후성,"9,320",230,+2.53%,500,"8,631","92,607",5.07,"1,380,493",-621.33,3.85,
194,아시아나항공,"3,840",95,+2.54%,"5,000","8,572","223,235",6.22,"941,191",-0.78,-90.67,
195,영풍,"464,500","6,000",+1.31%,"5,000","8,556","1,842",4.33,947,3.83,7.40,
196,화승엔터프라이즈,"14,100",100,-0.70%,500,"8,536","60,537",3.92,"141,998",15.33,19.87,
197,티와이홀딩스,"22,700","1,100",-4.62%,500,"8,513","37,501",6.69,"560,379",N/A,N/A,
198,휴켐스,"20,700",150,-0.72%,"1,000","8,462","40,879",8.89,"105,108",13.59,10.82,
199,현대홈쇼핑,"69,200","1,300",+1.91%,"5,000","8,304","12,000",24.03,"18,478",10.70,5.03,
200,KG동부제철,"8,270",120,-1.43%,"5,000","8,271","100,009",0.16,"176,508",8.62,-7.44,
